,filename,components,smiles,"Specific volume, m3/kg","Specific volume, m3/kg_std"
740183,s10765-009-0625-z,benzene,c1ccccc1,0.0011377,1e-07
1010240,je100083w,water,O,0.0009558,3.4e-07
1010254,je100083w,water,O,0.0009559,3.4e-07
1010256,je100083w,water,O,0.0009557,3.4e-07
1010258,je100083w,water,O,0.0009686,2.3e-07
1010262,je100083w,water,O,0.0009569,2.3e-07
1010263,je100083w,water,O,0.0009688,2.3e-07
1010265,je100083w,water,O,0.0009682,2.3e-07
1010268,je100083w,water,O,0.0009564,2.3e-07
1010270,je100083w,water,O,0.0009574,2.3e-07
1010280,je100083w,water,O,0.0009704,2.3e-07
1010287,je100083w,water,O,0.0009702,2.3e-07
1010289,je100083w,water,O,0.0009592,2.3e-07
1010290,je100083w,water,O,0.0009591,2.3e-07
1010294,je100083w,water,O,0.0009703,2.3e-07
1010298,je100083w,water,O,0.0009592,2.3e-07
1010304,je100083w,water,O,0.0009619,2.3e-07
1010307,je100083w,water,O,0.0009728,2.3e-07
1010311,je100083w,water,O,0.000962,2.3e-07
1010313,je100083w,water,O,0.0009729,2.3e-07
1010315,je100083w,water,O,0.0009625,2.3e-07
1010323,je100083w,water,O,0.0009732,2.3e-07
1010324,je100083w,water,O,0.0009655,2.3e-07
1010325,je100083w,water,O,0.0009758,2.3e-07
1010326,je100083w,water,O,0.0009651,2.3e-07
1010329,je100083w,water,O,0.0009757,2.3e-07
1010330,je100083w,water,O,0.0009761,2.3e-07
1010332,je100083w,water,O,0.0009653,2.3e-07
1010347,je100083w,water,O,0.000969,2.3e-07
1010348,je100083w,water,O,0.0009801,2.3e-07
1010351,je100083w,water,O,0.0009799,2.3e-07
1010352,je100083w,water,O,0.0009695,2.3e-07
1010353,je100083w,water,O,0.0009696,2.3e-07
1010356,je100083w,water,O,0.0009796,2.3e-07
1010377,je100083w,water,O,0.0009737,2.3e-07
1010378,je100083w,water,O,0.0009842,2.3e-07
1010382,je100083w,water,O,0.0009846,2.3e-07
1010383,je100083w,water,O,0.0009736,2.3e-07
1010385,je100083w,water,O,0.0009742,2.3e-07
1010386,je100083w,water,O,0.0009848,2.3e-07
1631618,je9010568,ethanol,CCO,0.0011902,1.3e-07
1631619,je9010568,ethanol,CCO,0.0011561,1.3e-07
1631627,je9010568,"1,2-propanediol",CC(O)CO,0.0009432,1.3e-07
1631628,je9010568,"1,2-propanediol",CC(O)CO,0.0009272,1.3e-07
1631635,je9010568,"1,2-ethanediol",OCCO,0.0008813,1.3e-07
1631636,je9010568,"1,2-ethanediol",OCCO,0.0008686,1.3e-07
